object_id,volume_nm_3,voxel_count,com_x_nm,com_y_nm,com_z_nm
260,412090368.0,1200,36267.4,2635.9,13075.0
147,407626055.68,1187,25484.1,3284.4,6643.8
314,384617676.8,1120,45710.9,3355.9,31952.2
151,377749504.0,1100,31304.0,893.8,19555.3
407,377749504.0,1100,34172.9,1937.4,16428.6
64,376719278.08,1097,12016.8,1720.7,8198.0
235,371224739.84,1081,39792.7,2321.0,31393.0
44,369164288.0,1075,6606.0,995.2,16272.4
292,365730201.6,1065,44859.7,2873.7,29403.5
118,365386792.96,1064,31047.9,4533.3,14408.2
57,362982932.48,1057,27393.1,2171.7,23516.1
96,360235663.36,1049,34942.8,1787.7,1588.9
32,358518620.16,1044,12831.3,967.6,11397.5
192,344095457.28,1002,44749.4,2087.7,32089.0
272,341348188.16,994,26493.0,1914.5,3195.3
152,337914101.76,984,10943.1,988.2,13474.0
321,337227284.48,982,40532.9,1764.7,32191.9
268,325207982.08,947,4881.5,1150.8,12887.8
7,323834347.52,943,15948.4,2324.0,22768.3
48,323834347.52,943,10800.8,1974.2,15327.3
184,323490938.88,942,45400.2,2135.1,28072.4
185,320743669.76,934,7953.0,2180.3,12897.7
267,317996400.64,926,23298.0,1097.6,10979.9
399,317652992.0,925,33781.2,2777.7,16655.7
276,316622766.08,922,16267.0,807.9,15921.3
291,315935948.8,920,40322.2,2205.4,29038.4
173,314562314.24,916,39651.6,1684.0,12504.1
322,313188679.68,912,18428.0,4227.9,9153.4
417,311128227.84,906,35001.5,2424.7,16375.5
352,308380958.72,898,22341.3,2921.7,6634.7
311,306320506.88,892,13967.1,1587.2,10921.5
413,305290280.96,889,46255.0,3635.0,31089.3
242,304603463.68,887,36696.1,2064.3,13027.9
373,303916646.4,885,35453.2,2763.8,11747.4
143,302543011.84,881,16796.5,1702.8,7431.4
289,301512785.92,878,46334.6,1973.7,839.0
367,301169377.28,877,42605.7,1746.5,26731.0
34,300825968.64,876,21725.6,1298.6,20678.0
208,299795742.72,873,47076.2,2535.2,487.8
365,295674839.04,861,20014.7,1693.6,7469.0
63,288119848.96,839,24692.0,2229.9,5765.0
68,288119848.96,839,33679.4,2521.7,17440.8
336,282968719.36,824,34493.9,2261.9,17914.5
36,282625310.72,823,42566.1,2323.3,28919.0
374,281938493.44,821,27697.4,1511.5,6915.3
273,280908267.52,818,30540.6,1603.6,7745.8
87,274726912.0,800,26989.9,897.5,17031.8
186,273696686.08,797,35273.8,1236.9,17017.9
259,273353277.44,796,35469.4,2330.1,17131.7
258,273009868.8,795,30343.9,3558.9,8041.1
388,270262599.68,787,40323.2,2079.1,12535.2
119,267515330.56,779,27137.2,2310.7,22852.9
295,266828513.28,777,751.9,736.4,12372.3
307,266485104.64,776,44341.2,1807.8,26681.8
5,262020792.32,763,25664.9,5127.6,16544.2
37,262020792.32,763,42644.5,2607.6,29235.5
228,260647157.76,759,43344.8,1884.2,28527.6
368,258243297.28,752,31992.1,3261.9,18035.4
362,257556480.0,750,25976.4,2735.8,5990.6
3,253778984.96,739,19206.3,1620.6,1887.8
16,252405350.4,735,15221.9,2769.5,8365.4
206,249314672.64,726,31222.2,2595.9,20085.3
38,248627855.36,724,20856.2,2487.0,6552.8
280,248627855.36,724,9166.5,1796.9,20526.6
100,245880586.24,716,32937.8,2353.8,19247.9
356,245880586.24,716,47062.9,1697.7,26485.6
26,245537177.6,715,42929.1,1468.1,6067.9
229,239699230.72,698,33909.1,1209.1,19940.6
309,235234918.4,685,25412.2,2199.5,7523.9
404,232487649.28,677,26351.8,1159.8,11536.0
90,231800832.0,675,42942.2,2916.8,30385.4
117,226649702.4,660,41673.1,2081.0,29737.5
142,225962885.12,658,10557.0,926.5,17845.2
172,225962885.12,658,43958.0,3294.8,32424.6
359,225619476.48,657,27399.3,5390.1,13483.6
205,224932659.2,655,20824.5,1089.1,9246.2
65,222872207.36,649,45777.3,2541.4,2334.8
251,222872207.36,649,45000.5,2670.5,28578.6
146,220124938.24,641,27869.8,1572.2,8115.1
354,219781529.6,640,42889.9,2085.8,3514.6
221,217721077.76,634,5882.4,1617.8,11888.6
363,217721077.76,634,43983.1,2353.2,28361.7
89,216347443.2,630,36986.2,1169.4,11012.8
402,214973808.64,626,39679.5,1803.1,30551.6
353,213256765.44,621,45669.2,3106.6,371.4
40,212226539.52,618,19763.2,2886.6,7135.0
364,212226539.52,618,30882.0,1443.9,22226.0
4,210166087.68,612,35686.6,1992.1,10637.7
149,208792453.12,608,35912.3,1826.7,18046.6
232,205014958.08,597,33828.3,1770.4,5667.4
133,204671549.44,596,453.4,3147.7,28234.3
58,203297914.88,592,41455.7,2179.8,32110.6
